date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790101,2,7,52,2.3,-4.1,-7.5,0.4,101900,9
19790102,6,1.7,27,1.6,-2.6,-7.5,0,102530,8
19790103,5,0,13,1.3,-2.8,-7.2,0,102050,4
19790104,8,0,13,-0.3,-2.6,-6.5,0,100840,2
19790105,6,2,29,5.6,-0.8,-1.4,0,102250,1
19790106,5,3.8,39,8.3,-0.5,-6.6,0.7,102780,1
19790107,8,0,13,8.5,1.5,-5.3,5.2,102520,0
19790108,8,0.1,15,5.8,6.9,5.3,0.8,101870,0
19790109,4,5.8,50,5.2,3.7,1.6,7.2,101170,0
19790110,7,1.9,30,4.9,3.3,1.4,2.1,98700,0
19790111,1,6.8,55,2.9,2.6,0.3,2.3,98960,0
19790112,3,6.4,54,2,0.4,-2,0,100650,1
19790113,1,7,57,4.3,-2.6,-7.1,0,102350,1
19790114,7,0,14,6.7,-0.6,-5.6,0.8,102700,1
19790115,,0,15,5.9,3.8,1,0.1,102990,0
19790116,8,0,15,2.6,5,4.1,3.9,103100,0
19790117,8,0,15,1.9,2.1,1.6,2.5,102220,0
19790118,8,0,15,3,0.8,-0.2,0.2,101860,0
19790119,8,0,16,7.2,0.8,-1.4,5.2,100910,0
19790120,7,0,16,3.5,3.1,-1,0,100920,0
19790121,,0,16,1.5,0,-3.5,0.1,102170,0
19790122,8,0,16,0.3,-0.2,-1.8,6.2,101680,0
19790123,7,0,17,2.9,-1,-2.3,1,100970,6
19790124,3,4.8,54,5.6,-1.4,-5.6,1.4,101010,6
19790125,8,0,17,2.8,0.6,-4.5,5.3,99660,1
19790126,5,2.6,42,1.6,0.8,-1.1,0.1,99280,1
19790127,4,2.1,39,4.5,-1.8,-5.2,0,99770,0
19790128,7,3.1,47,4.8,0,-4.4,7.5,99470,0
19790129,4,1,31,4,1.9,-1,4.4,98920,0
19790130,5,0.8,30,7.3,0.7,-2.6,0.1,100070,0
19790131,5,1.6,38,9.1,2.1,-3.1,2.4,101390,0
19790201,8,0,19,4,5.2,1.2,10.1,99490,0
19790202,5,1.4,37,5.9,2.8,1.5,0,99890,0
19790203,1,8.7,85,4.5,0.9,-4.1,0,100770,0
19790204,8,0.1,23,6,1.6,-1.2,0,100060,0
19790205,6,0.8,33,4,3.7,1.4,0,100250,0
19790206,4,6.8,78,6.8,1.2,-1.6,9,101020,0
19790207,,0,21,3.7,3.3,-0.2,0.4,99450,0
19790208,6,1.9,45,4,2,0.3,0,100740,0
19790209,8,0,22,3.5,2.4,0.8,0,100310,0
19790210,8,0,23,2.9,2.8,2.1,0,99730,0
19790211,8,0,23,5.4,2.4,1.9,4.4,99170,0
19790212,8,0.1,27,8.1,2.8,0.3,6.7,98430,1
19790213,8,0,24,0.2,4.2,0.3,9.1,98130,0
19790214,6,2.4,54,-0.8,-0.2,-0.7,0,99380,1
19790215,7,0,25,0.6,-2.2,-3.7,0.1,100830,0
19790216,8,0,25,-0.8,-1.2,-3.1,0,102270,1
19790217,8,0,26,0.7,-1.2,-1.5,0,102180,0
19790218,8,0,26,1.9,-0.6,-1.8,0,101970,0
19790219,8,0,27,2.8,0.5,-0.9,0.1,102530,0
19790220,,0,27,3.6,1.6,0.3,0,103010,0
19790221,8,0,28,7.4,2.1,0.6,0.6,102640,0
19790222,5,2.6,63,8.7,4.3,1.2,1.8,102790,0
19790223,4,7.4,104,5.5,4.4,0.2,0,103430,0
19790224,4,1.9,58,6.9,2.9,0.3,0,104130,0
19790225,3,8.1,112,6.7,1.8,-3.4,0,104270,0
19790226,,4.2,82,8.9,1.6,-3.4,0,103590,0
19790227,6,4.4,85,6.1,3.7,-1.5,0.8,102090,0
19790228,6,2.1,64,9.7,4.4,2.7,0.9,100040,0
19790301,4,6.4,115,11.9,3.5,-2.7,0.2,101100,0
19790302,8,0,35,12.6,6.8,1.6,0,101640,0
19790303,8,0.1,40,10.5,11,9.4,5.3,101850,0
